Date,Open,High,Low,Close,Adj Close,Volume
2009-05-06,2.982500,3.010000,2.832500,2.890000,2.652304,93508800
2009-05-07,2.955000,2.955000,2.645000,2.682500,2.461871,128919600
2009-05-08,2.625000,2.625000,2.277500,2.312500,2.122302,293056400
2009-05-11,2.275000,2.415000,2.255000,2.357500,2.163602,103859600
2009-05-12,2.410000,2.410000,2.200000,2.245000,2.060353,120138400
2009-05-13,2.230000,2.242500,2.082500,2.100000,1.927279,130560800
2009-05-14,2.097500,2.175000,2.082500,2.130000,1.954812,101786400
2009-05-15,2.145000,2.260000,2.120000,2.185000,2.005288,78030800
2009-05-18,2.240000,2.332500,2.235000,2.317500,2.126891,93832000
2009-05-19,2.332500,2.390000,2.295000,2.362500,2.168189,85976800
2009-05-20,2.405000,2.562500,2.395000,2.432500,2.232433,130943600
2009-05-21,2.402500,2.450000,2.350000,2.417500,2.218666,96560000
2009-05-22,2.417500,2.490000,2.372500,2.455000,2.253081,71826000
2009-05-26,2.432500,2.607500,2.407500,2.587500,2.374683,86554000
2009-05-27,2.575000,2.670000,2.550000,2.592500,2.379273,81415200
2009-05-28,2.632500,2.650000,2.515000,2.627500,2.411394,99528800
2009-05-29,2.630000,2.635000,2.517500,2.607500,2.393039,83423200
2009-06-01,2.637500,2.750000,2.627500,2.735000,2.510052,102276400
2009-06-02,2.735000,2.795000,2.662500,2.712500,2.489403,90798400
2009-06-03,2.677500,2.687500,2.562500,2.627500,2.411394,73568800
2009-06-04,2.635000,2.727500,2.632500,2.722500,2.498581,67318000
2009-06-05,2.772500,2.772500,2.675000,2.707500,2.484814,55999200
2009-06-08,2.687500,2.730000,2.625000,2.692500,2.471047,47394800
2009-06-09,2.730000,2.870000,2.710000,2.840000,2.606416,72503200
2009-06-10,2.855000,2.947500,2.792500,2.930000,2.689013,83332000
2009-06-11,2.937500,3.050000,2.875000,2.892500,2.654598,83515600
2009-06-12,2.850000,2.887500,2.785000,2.877500,2.640832,59500000
2009-06-15,2.825000,2.862500,2.780000,2.830000,2.597239,44516400
2009-06-16,2.830000,2.865000,2.712500,2.752500,2.526112,59491200
2009-06-17,2.795000,2.847500,2.687500,2.820000,2.588061,79901600
2009-06-18,2.810000,2.862500,2.735000,2.765000,2.537586,56637600
2009-06-19,2.792500,2.865000,2.757500,2.795000,2.565118,74756400
2009-06-22,2.805000,2.805000,2.627500,2.637500,2.420572,57486400
2009-06-23,2.662500,2.667500,2.522500,2.625000,2.409100,58976400
2009-06-24,2.657500,2.775000,2.657500,2.712500,2.489403,51509600
2009-06-25,2.687500,2.860000,2.660000,2.855000,2.620183,87044400
2009-06-26,2.842500,2.902500,2.817500,2.892500,2.654598,51395600
2009-06-29,2.900000,2.945000,2.862500,2.892500,2.654598,51005600
2009-06-30,2.882500,2.922500,2.770000,2.822500,2.590355,58984400
2009-07-01,2.840000,2.872500,2.787500,2.835000,2.601828,69642000
2009-07-02,2.742500,2.777500,2.687500,2.725000,2.500875,55231200
2009-07-06,2.722500,2.725000,2.592500,2.637500,2.420572,75245600
2009-07-07,2.647500,2.662500,2.515000,2.522500,2.315030,107299600
2009-07-08,2.537500,2.545000,2.427500,2.527500,2.319619,120586000
2009-07-09,2.570000,2.625000,2.562500,2.582500,2.370095,71456400
2009-07-10,2.582500,2.610000,2.527500,2.592500,2.379273,52000800
2009-07-13,2.645000,2.645000,2.487500,2.622500,2.406805,55601200
2009-07-14,2.642500,2.687500,2.612500,2.677500,2.457282,45256800
2009-07-15,2.775000,2.842500,2.750000,2.787500,2.558235,102280800
2009-07-16,2.817500,2.942500,2.802500,2.932500,2.691307,95207600
2009-07-17,2.932500,3.027500,2.902500,3.017500,2.769317,85035600
2009-07-20,3.042500,3.087500,3.002500,3.055000,2.803733,78275600
2009-07-21,3.047500,3.060000,2.922500,2.992500,2.746373,94129600
2009-07-22,2.932500,3.095000,2.912500,3.067500,2.815205,60090800
2009-07-23,3.072500,3.260000,3.040000,3.250000,2.982695,104612000
2009-07-24,3.150000,3.250000,3.130000,3.240000,2.973517,65059200
2009-07-27,3.210000,3.302500,3.180000,3.255000,2.987284,67748400
2009-07-28,3.232500,3.295000,3.205000,3.260000,2.991873,56318000
2009-07-29,3.222500,3.242500,3.162500,3.195000,2.932219,37397200
2009-07-30,3.250000,3.292500,3.192500,3.220000,2.955163,46844400
2009-07-31,3.220000,3.277500,3.145000,3.232500,2.966634,54156000
2009-08-03,3.310000,3.357500,3.247500,3.320000,3.046937,47190000
2009-08-04,3.262500,3.400000,3.257500,3.342500,3.067587,69538000
2009-08-05,3.322500,3.375000,3.282500,3.350000,3.074471,61076800
2009-08-06,3.362500,3.422500,3.260000,3.280000,3.010228,95758800
2009-08-07,3.457500,3.557500,3.380000,3.427500,3.145596,140187200
2009-08-10,3.452500,3.502500,3.295000,3.315000,3.042349,69331200
2009-08-11,3.292500,3.342500,3.220000,3.237500,2.971223,48188400
2009-08-12,3.240000,3.392500,3.237500,3.357500,3.081353,63494000
2009-08-13,3.382500,3.470000,3.322500,3.457500,3.173128,56402800
2009-08-14,3.452500,3.457500,3.310000,3.355000,3.079059,42714800
2009-08-17,3.252500,3.262500,3.180000,3.215000,2.950574,46503200
2009-08-18,3.215000,3.370000,3.212500,3.332500,3.058410,63620000
2009-08-19,3.282500,3.315000,3.250000,3.295000,3.023994,55299600
2009-08-20,3.280000,3.440000,3.272500,3.425000,3.143301,81984000
2009-08-21,3.452500,3.487500,3.382500,3.482500,3.196072,60732400
2009-08-24,3.462500,3.500000,3.365000,3.385000,3.106591,46145600
2009-08-25,3.402500,3.450000,3.345000,3.415000,3.134124,44408800
2009-08-26,3.407500,3.462500,3.395000,3.455000,3.170833,43430800
2009-08-27,3.470000,3.517500,3.432500,3.502500,3.214427,55107200
2009-08-28,3.597500,3.757500,3.592500,3.682500,3.379622,88399200
2009-08-31,3.640000,3.657500,3.582500,3.630000,3.331440,43179600
2009-09-01,3.627500,3.730000,3.487500,3.507500,3.219017,73685600
2009-09-02,3.512500,3.592500,3.492500,3.557500,3.264904,40465600
2009-09-03,3.557500,3.647500,3.547500,3.642500,3.342912,53402000
2009-09-04,3.627500,3.802500,3.627500,3.777500,3.466810,51304800
2009-09-08,3.805000,3.882500,3.775000,3.882500,3.563174,54971200
2009-09-09,3.875000,3.997500,3.820000,3.990000,3.661831,57168400
2009-09-10,4.002500,4.122500,3.957500,4.117500,3.778845,60795200
2009-09-11,4.107500,4.122500,4.050000,4.080000,3.744429,71273200
2009-09-14,4.020000,4.052500,3.977500,4.012500,3.682481,49051600
2009-09-15,4.050000,4.145000,4.012500,4.095000,3.758195,54613600
2009-09-16,4.085000,4.092500,3.925000,3.985000,3.657242,70706400
2009-09-17,3.975000,3.975000,3.742500,3.810000,3.496635,92309600
2009-09-18,3.847500,3.875000,3.775000,3.805000,3.492048,60474000
2009-09-21,3.760000,3.852500,3.727500,3.787500,3.475987,58877600
2009-09-22,3.815000,3.837500,3.765000,3.795000,3.482870,36138800
2009-09-23,3.817500,3.850000,3.730000,3.735000,3.427805,47893600
2009-09-24,3.797500,3.797500,3.672500,3.685000,3.381916,55287600
2009-09-25,3.665000,3.682500,3.597500,3.625000,3.326852,37755600
2009-09-28,3.637500,3.800000,3.637500,3.707500,3.402566,46770800
2009-09-29,3.730000,3.775000,3.632500,3.640000,3.340617,47092800
2009-09-30,3.715000,3.802500,3.632500,3.757500,3.448454,87595600
2009-10-01,3.745000,3.745000,3.487500,3.490000,3.202955,99996000
2009-10-02,3.455000,3.537500,3.435000,3.462500,3.177717,61247600
2009-10-05,3.500000,3.512500,3.385000,3.445000,3.161656,75427600
2009-10-06,3.487500,3.562500,3.462500,3.502500,3.214427,76127200
2009-10-07,3.477500,3.515000,3.437500,3.475000,3.189190,45960800
2009-10-08,3.495000,3.505000,3.372500,3.497500,3.209839,124152400
2009-10-09,3.477500,3.547500,3.472500,3.542500,3.251137,61854000
2009-10-12,3.482500,3.570000,3.480000,3.502500,3.214427,49900800
2009-10-13,3.522500,3.562500,3.457500,3.490000,3.202955,60212400
2009-10-14,3.625000,3.625000,3.467500,3.485000,3.198367,110194800
2009-10-15,3.480000,3.512500,3.360000,3.382500,3.104296,109219600
2009-10-16,3.340000,3.350000,3.245000,3.305000,3.033171,101883200
2009-10-19,3.332500,3.452500,3.305000,3.425000,3.143301,69558800
2009-10-20,3.482500,3.507500,3.400000,3.427500,3.145596,66018000
2009-10-21,3.415000,3.467500,3.327500,3.345000,3.069882,50395600
2009-10-22,3.327500,3.385000,3.270000,3.367500,3.090531,37932800
2009-10-23,3.412500,3.412500,3.267500,3.287500,3.017111,42952800
2009-10-26,3.312500,3.362500,3.227500,3.245000,2.978106,48165200
2009-10-27,3.230000,3.277500,3.102500,3.135000,2.877152,59183600
2009-10-28,3.065000,3.135000,2.990000,3.005000,2.757845,77363200
2009-10-29,3.052500,3.152500,3.025000,3.137500,2.879448,63710000
2009-10-30,3.122500,3.135000,2.975000,2.990000,2.744080,60414400
2009-11-02,2.985000,3.082500,2.932500,3.017500,2.769317,59313600
2009-11-03,2.920000,3.017500,2.890000,3.002500,2.755551,87647200
2009-11-04,3.025000,3.057500,2.982500,2.995000,2.748668,91684000
2009-11-05,3.030000,3.097500,3.020000,3.067500,2.815205,95515600
2009-11-06,3.260000,3.357500,3.220000,3.290000,3.019405,164111200
2009-11-09,3.335000,3.412500,3.332500,3.365000,3.088237,81812400
2009-11-10,3.377500,3.377500,3.240000,3.282500,3.012522,78147200
2009-11-11,3.337500,3.455000,3.332500,3.375000,3.097413,87151200
2009-11-12,3.405000,3.462500,3.355000,3.365000,3.088237,50586400
2009-11-13,3.362500,3.407500,3.347500,3.390000,3.111180,38852400
2009-11-16,3.420000,3.477500,3.402500,3.437500,3.154773,40282000
2009-11-17,3.440000,3.440000,3.367500,3.432500,3.150184,35012400
2009-11-18,3.400000,3.412500,3.322500,3.380000,3.102002,45551600
2009-11-19,3.307500,3.307500,3.185000,3.245000,2.978106,83384000
2009-11-20,3.170000,3.240000,3.162500,3.225000,2.959751,42674800
2009-11-23,3.272500,3.332500,3.235000,3.250000,2.982695,39092400
2009-11-24,3.235000,3.257500,3.177500,3.230000,2.964340,41850400
2009-11-25,3.267500,3.312500,3.245000,3.267500,2.998755,44176000
2009-11-27,3.150000,3.235000,3.132500,3.197500,2.934513,27993200
2009-11-30,3.210000,3.267500,3.175000,3.265000,2.996461,50983600
2009-12-01,3.282500,3.367500,3.265000,3.330000,3.056115,46193600
2009-12-02,3.337500,3.437500,3.317500,3.430000,3.147890,60229200
2009-12-03,3.470000,3.532500,3.452500,3.457500,3.173128,66003600
2009-12-04,3.522500,3.580000,3.467500,3.565000,3.271787,82456400
2009-12-07,3.962500,4.112500,3.775000,4.022500,3.691659,273218400
2009-12-08,3.957500,3.975000,3.805000,3.827500,3.512697,107551200
2009-12-09,3.867500,3.952500,3.830000,3.922500,3.599883,67158800
2009-12-10,3.950000,3.975000,3.840000,3.852500,3.535640,41701200
2009-12-11,3.885000,3.890000,3.792500,3.802500,3.489753,41674400
2009-12-14,3.857500,3.930000,3.815000,3.917500,3.595295,40548800
2009-12-15,3.890000,3.977500,3.880000,3.912500,3.590705,44615200
2009-12-16,4.052500,4.272500,4.030000,4.227500,3.879797,168340000
2009-12-17,4.240000,4.370000,4.145000,4.207500,3.861443,101613200
2009-12-18,4.242500,4.257500,4.155000,4.205000,3.859148,81282800
2009-12-21,4.230000,4.372500,4.225000,4.355000,3.996812,42779200
2009-12-22,4.355000,4.515000,4.350000,4.470000,4.102352,79304400
2009-12-23,4.512500,4.545000,4.455000,4.532500,4.159712,44219600
2009-12-24,4.545000,4.552500,4.505000,4.522500,4.150535,13681200
2009-12-28,4.515000,4.555000,4.405000,4.450000,4.083997,46576000
2009-12-29,4.435000,4.517500,4.425000,4.505000,4.134473,47584800
2009-12-30,4.547500,4.695000,4.515000,4.667500,4.283608,70400800
2009-12-31,4.677500,4.737500,4.665000,4.670000,4.285904,70034000
2010-01-04,4.627500,4.655000,4.527500,4.622500,4.242310,80020400
2010-01-05,4.605000,4.740000,4.605000,4.690000,4.304259,72864800
2010-01-06,4.687500,4.730000,4.642500,4.720000,4.331790,64916800
2010-01-07,4.695000,4.715000,4.592500,4.627500,4.246900,54779200
2010-01-08,4.590000,4.670000,4.562500,4.637500,4.256074,47816800
2010-01-11,4.662500,4.682500,4.507500,4.572500,4.196421,55661200
2010-01-12,4.505000,4.522500,4.322500,4.417500,4.054170,62743200
2010-01-13,4.447500,4.492500,4.275000,4.477500,4.109236,50886800
2010-01-14,4.422500,4.455000,4.332500,4.407500,4.044992,60852400
2010-01-15,4.375000,4.412500,4.220000,4.277500,3.925685,81819200
2010-01-19,4.245000,4.385000,4.232500,4.357500,3.999104,54532800
2010-01-20,4.302500,4.357500,4.245000,4.340000,3.983045,71972800
2010-01-21,4.337500,4.415000,4.222500,4.262500,3.911920,60863200
2010-01-22,4.212500,4.290000,4.090000,4.115000,3.776550,106791600
2010-01-25,4.182500,4.265000,4.152500,4.185000,3.840793,64367600
2010-01-26,4.165000,4.192500,4.050000,4.052500,3.719192,71463600
2010-01-27,4.050000,4.177500,4.005000,4.162500,3.820143,81250400
2010-01-28,4.195000,4.210000,3.965000,4.022500,3.691659,68776400
2010-01-29,4.067500,4.112500,3.787500,3.847500,3.531052,77470000
2010-02-01,3.862500,4.150000,3.830000,4.142500,3.801788,94983200
2010-02-02,4.127500,4.237500,4.115000,4.185000,3.840793,84981200
2010-02-03,4.147500,4.237500,4.127500,4.220000,3.872915,56229600
2010-02-04,4.182500,4.182500,3.930000,3.975000,3.648064,78348000
2010-02-05,3.970000,4.065000,3.900000,4.055000,3.721486,60485600
2010-02-08,4.042500,4.145000,3.967500,4.047500,3.714602,44516000
2010-02-09,4.112500,4.132500,3.975000,4.015000,3.684775,93014400
2010-02-10,4.040000,4.130000,4.012500,4.092500,3.755901,53582800
2010-02-11,4.157500,4.325000,4.127500,4.280000,3.927980,69598000
2010-02-12,4.250000,4.425000,4.202500,4.337500,3.980750,78021200
2010-02-16,4.395000,4.435000,4.342500,4.417500,4.054170,45702400
2010-02-17,4.472500,4.475000,4.332500,4.460000,4.093175,87656000
2010-02-18,4.215000,4.237500,4.052500,4.167500,3.824732,151550800
2010-02-19,4.150000,4.195000,4.125000,4.145000,3.804083,51054800
2010-02-22,4.162500,4.225000,4.125000,4.152500,3.810966,45808400
2010-02-23,4.165000,4.182500,4.010000,4.052500,3.719192,48976400
2010-02-24,4.087500,4.177500,4.075000,4.137500,3.797199,44586800
2010-02-25,4.042500,4.110000,3.940000,4.100000,3.762784,57697200
2010-02-26,4.080000,4.110000,4.025000,4.050000,3.716897,39339600
2010-03-01,4.052500,4.232500,4.020000,4.212500,3.866031,55586800
2010-03-02,4.250000,4.302500,4.180000,4.210000,3.863736,53864800
2010-03-03,4.235000,4.257500,4.122500,4.157500,3.815554,39930000
2010-03-04,4.175000,4.207500,4.112500,4.165000,3.822438,55739600
2010-03-05,4.135000,4.322500,4.135000,4.292500,3.939452,63283200
2010-03-08,4.295000,4.307500,4.212500,4.230000,3.882092,43931200
2010-03-09,4.272500,4.430000,4.270000,4.387500,4.026637,83083200
2010-03-10,4.375000,4.445000,4.372500,4.397500,4.035815,41852000
2010-03-11,4.362500,4.377500,4.280000,4.297500,3.944040,54066000
2010-03-12,4.345000,4.357500,4.290000,4.312500,3.957807,52035200
2010-03-15,4.307500,4.350000,4.250000,4.290000,3.937158,35890400
2010-03-16,4.287500,4.465000,4.285000,4.440000,4.074820,66498800
2010-03-17,4.465000,4.585000,4.465000,4.525000,4.152830,65116800
2010-03-18,4.532500,4.532500,4.325000,4.365000,4.005987,74096400
2010-03-19,4.430000,4.442500,4.257500,4.312500,3.957807,58461200
2010-03-22,4.257500,4.400000,4.257500,4.382500,4.022048,43533600
2010-03-23,4.415000,4.495000,4.385000,4.472500,4.104646,49361200
2010-03-24,4.435000,4.447500,4.315000,4.322500,3.966984,43625200
2010-03-25,4.385000,4.412500,4.325000,4.335000,3.978456,49518400
2010-03-26,4.372500,4.417500,4.300000,4.335000,3.978456,34467600
2010-03-29,4.362500,4.400000,4.302500,4.390000,4.028933,39445600
2010-03-30,4.440000,4.462500,4.332500,4.407500,4.044992,32410400
2010-03-31,4.390000,4.410000,4.327500,4.350000,3.992221,38984000
2010-04-01,4.370000,4.420000,4.260000,4.305000,3.950923,33966400
2010-04-05,4.332500,4.377500,4.327500,4.370000,4.010576,41363600
2010-04-06,4.315000,4.325000,4.187500,4.262500,3.911920,80926000
2010-04-07,4.235000,4.362500,4.200000,4.290000,3.937158,81746800
2010-04-08,4.262500,4.295000,4.197500,4.220000,3.872915,103760000
2010-04-09,4.210000,4.262500,4.187500,4.247500,3.898153,81757200
2010-04-12,4.252500,4.342500,4.245000,4.325000,3.969278,54646000
2010-04-13,4.342500,4.430000,4.325000,4.415000,4.051875,64869600
2010-04-14,4.510000,4.532500,4.400000,4.470000,4.102352,90072000
2010-04-15,4.485000,4.530000,4.440000,4.502500,4.132181,95759600
2010-04-16,4.320000,4.337500,4.170000,4.265000,3.914213,191773600
2010-04-19,4.232500,4.257500,4.102500,4.245000,3.895858,109449200
2010-04-20,4.275000,4.320000,4.205000,4.260000,3.909624,67818800
2010-04-21,4.282500,4.287500,4.100000,4.150000,3.808672,89590800
2010-04-22,4.082500,4.180000,4.025000,4.167500,3.824732,65693200
2010-04-23,4.155000,4.165000,4.037500,4.110000,3.771962,75291600
2010-04-26,4.115000,4.200000,4.107500,4.150000,3.808672,49109200
2010-04-27,4.120000,4.162500,4.020000,4.032500,3.700835,60670400
2010-04-28,4.030000,4.097500,3.957500,4.040000,3.707719,67216400
2010-04-29,4.052500,4.167500,3.992500,4.162500,3.820143,98712800
2010-04-30,4.112500,4.120000,3.925000,3.927500,3.604472,106804800
2010-05-03,3.947500,3.970000,3.825000,3.885000,3.565467,107897200
2010-05-04,3.825000,3.832500,3.632500,3.687500,3.384211,131137600
2010-05-05,3.612500,3.717500,3.580000,3.625000,3.326852,133084000
2010-05-06,3.600000,3.675000,3.260000,3.550000,3.258020,100288800
2010-05-07,3.582500,3.582500,3.365000,3.490000,3.202955,115371200
2010-05-10,3.700000,3.745000,3.600000,3.640000,3.340617,97915600
2010-05-11,3.605000,3.672500,3.572500,3.600000,3.303909,82912400
2010-05-12,3.625000,3.690000,3.602500,3.670000,3.368151,90123600
2010-05-13,3.655000,3.822500,3.627500,3.662500,3.361267,125200000
2010-05-14,3.415000,3.425000,3.150000,3.240000,2.973517,249306800
2010-05-17,3.245000,3.287500,3.145000,3.247500,2.980401,85606000
2010-05-18,3.275000,3.295000,3.122500,3.140000,2.881742,67411200
2010-05-19,3.125000,3.195000,3.102500,3.190000,2.927630,82652000
